repo,stars,created_at,age_years,merged_pull_requests,releases,pushed_at,updated_at,days_since_last_push,days_since_last_update,primary_language,total_issues,closed_issues,closed_issues_ratio
codecrafters-io/build-your-own-x,539442,2018-05-09T12:03:18Z,8.26,157,0,2026-07-14T19:25:58Z,2026-08-13T22:52:20Z,30.14,0.0,Markdown,944,677,0.7172
sindresorhus/awesome,495377,2014-07-11T13:42:37Z,12.09,700,0,2026-06-30T18:21:16Z,2026-08-13T22:51:03Z,44.19,0.0,N/A,368,352,0.9565
public-apis/public-apis,455948,2016-03-20T23:49:42Z,10.4,2131,0,2026-08-13T21:07:34Z,2026-08-13T22:34:24Z,0.07,0.01,Python,921,911,0.9891
freeCodeCamp/freeCodeCamp,453959,2014-12-24T17:49:19Z,11.64,29089,0,2026-08-13T21:20:52Z,2026-08-13T22:37:25Z,0.06,0.01,TypeScript,22059,21888,0.9922
EbookFoundation/free-programming-books,394337,2013-10-11T06:50:37Z,12.84,7417,0,2026-08-11T12:11:06Z,2026-08-13T21:59:01Z,2.45,0.04,Python,1292,1254,0.9706
openclaw/openclaw,386194,2025-11-24T10:16:47Z,0.72,24607,233,2026-08-13T22:52:00Z,2026-08-13T22:49:36Z,0.0,0.0,TypeScript,46938,43545,0.9277
nilbuild/developer-roadmap,364356,2017-03-15T13:45:52Z,9.41,4390,1,2026-08-13T18:34:59Z,2026-08-13T22:38:13Z,0.18,0.01,TypeScript,3184,3183,0.9997
donnemartin/system-design-primer,363650,2017-02-26T16:15:28Z,9.46,210,0,2026-03-20T01:52:19Z,2026-08-13T22:51:21Z,146.88,0.0,Python,399,127,0.3183
jwasham/coding-interview-university,358649,2016-06-06T02:34:12Z,10.18,415,0,2025-08-28T14:42:47Z,2026-08-13T21:17:01Z,350.34,0.07,N/A,536,455,0.8489
vinta/awesome-python,313806,2014-06-27T21:00:06Z,12.13,738,0,2026-08-05T06:11:04Z,2026-08-13T22:31:40Z,8.7,0.02,Python,0,0,0.0
awesome-selfhosted/awesome-selfhosted,312453,2015-06-01T02:33:17Z,11.2,0,1,2026-08-12T18:50:03Z,2026-08-13T22:31:55Z,1.17,0.02,N/A,0,0,0.0
practical-tutorials/project-based-learning,279061,2017-04-12T05:07:46Z,9.34,194,0,2026-08-10T07:04:22Z,2026-08-13T22:51:16Z,3.66,0.0,Python,239,88,0.3682
996icu/996.ICU,276627,2019-03-26T07:31:14Z,7.38,1071,0,2025-08-22T06:01:29Z,2026-08-13T22:09:04Z,356.7,0.03,N/A,0,0,0.0
obra/superpowers,271727,2025-10-09T19:45:18Z,0.84,167,12,2026-08-13T00:36:31Z,2026-08-13T22:53:33Z,0.93,0.0,Shell,843,693,0.8221
react/react,247235,2013-05-24T16:15:54Z,13.22,13033,132,2026-08-13T15:44:43Z,2026-08-13T22:27:13Z,0.3,0.02,JavaScript,14613,13799,0.9443
torvalds/linux,242760,2011-09-04T22:48:12Z,14.94,0,0,2026-08-13T16:41:49Z,2026-08-13T22:18:03Z,0.26,0.02,C,0,0,0.0
affaan-m/ECC,239959,2026-01-18T00:51:51Z,0.57,990,15,2026-08-13T22:30:41Z,2026-08-13T22:49:12Z,0.02,0.0,JavaScript,704,663,0.9418
trimstray/the-book-of-secret-knowledge,238201,2018-06-23T10:43:14Z,8.14,122,0,2024-11-19T14:00:38Z,2026-08-13T22:31:58Z,632.37,0.02,N/A,0,0,0.0
NousResearch/hermes-agent,230101,2025-07-22T22:22:28Z,1.06,10528,25,2026-08-13T22:43:13Z,2026-08-13T22:47:57Z,0.01,0.0,Python,21345,10689,0.5008
TheAlgorithms/Python,223730,2016-07-16T09:44:01Z,10.08,3088,0,2026-08-03T18:44:56Z,2026-08-13T21:57:38Z,10.17,0.04,Python,1749,1606,0.9182
mattpocock/skills,216345,2026-02-03T11:15:53Z,0.52,86,7,2026-08-13T09:06:37Z,2026-08-13T22:53:18Z,0.57,0.0,Shell,625,300,0.48
vuejs/vue,210232,2013-07-29T03:24:51Z,13.04,1136,249,2024-10-10T07:24:15Z,2026-08-13T19:42:44Z,672.65,0.13,TypeScript,10035,9670,0.9636
ossu/computer-science,207965,2014-05-04T00:18:39Z,12.28,315,0,2026-07-14T05:38:25Z,2026-08-13T21:45:00Z,30.72,0.05,HTML,674,658,0.9763
multica-ai/andrej-karpathy-skills,202163,2026-01-27T03:53:13Z,0.54,12,0,2026-04-20T10:05:04Z,2026-08-13T22:52:39Z,115.53,0.0,N/A,0,0,0.0
n8n-io/n8n,200529,2019-06-22T09:24:21Z,7.14,19911,760,2026-08-13T22:38:55Z,2026-08-13T22:51:39Z,0.01,0.0,TypeScript,9987,9649,0.9662
