repo,stars,age_years,primary_language
openclaw/openclaw,386194,0.72,TypeScript
obra/superpowers,271727,0.84,Shell
affaan-m/ECC,239959,0.57,JavaScript
mattpocock/skills,216345,0.52,Shell
multica-ai/andrej-karpathy-skills,202163,0.54,N/A
ultraworkers/claw-code,195075,0.37,Rust
anthropics/skills,168986,0.89,Python
msitarzewski/agency-agents,145163,0.83,Shell
garrytan/gstack,127876,0.42,TypeScript
nextlevelbuilder/ui-ux-pro-max-skill,116444,0.7,Python
