repo,stars,primary_language,releases,age_years,releases_por_ano,sem_release
codecrafters-io/build-your-own-x,540183,Markdown,0,8.27,0.0,True
sindresorhus/awesome,496426,N/A,0,12.1,0.0,True
public-apis/public-apis,461179,Python,0,10.4,0.0,True
freeCodeCamp/freeCodeCamp,454104,TypeScript,0,11.64,0.0,True
EbookFoundation/free-programming-books,394523,Python,0,12.85,0.0,True
openclaw/openclaw,386447,TypeScript,235,0.73,321.92,False
nilbuild/developer-roadmap,364595,TypeScript,1,9.42,0.11,False
donnemartin/system-design-primer,364154,Python,0,9.47,0.0,True
jwasham/coding-interview-university,358906,N/A,0,10.19,0.0,True
vinta/awesome-python,314248,Python,0,12.13,0.0,True
awesome-selfhosted/awesome-selfhosted,313031,N/A,1,11.21,0.09,False
practical-tutorials/project-based-learning,279430,Python,0,9.34,0.0,True
996icu/996.ICU,276654,N/A,0,7.39,0.0,True
obra/superpowers,272703,Shell,12,0.85,14.12,False
react/react,247272,JavaScript,132,13.23,9.98,False
torvalds/linux,243017,C,0,14.95,0.0,True
affaan-m/ECC,240418,JavaScript,15,0.57,26.32,False
trimstray/the-book-of-secret-knowledge,238676,N/A,0,8.15,0.0,True
NousResearch/hermes-agent,231379,Python,25,1.07,23.36,False
TheAlgorithms/Python,223778,Python,0,10.08,0.0,True
mattpocock/skills,219027,Shell,7,0.53,13.21,False
vuejs/vue,210215,TypeScript,249,13.05,19.08,False
ossu/computer-science,208044,HTML,0,12.28,0.0,True
multica-ai/andrej-karpathy-skills,202998,N/A,0,0.55,0.0,True
n8n-io/n8n,200867,TypeScript,762,7.15,106.57,False
anomalyco/opencode,198028,TypeScript,860,1.29,666.67,False
tensorflow/tensorflow,197058,C++,222,10.77,20.61,False
trekhleb/javascript-algorithms,196468,JavaScript,0,8.4,0.0,True
ultraworkers/claw-code,195058,Rust,0,0.38,0.0,True
DigitalPlatDev/FreeDomain,193601,Markdown,0,2.21,0.0,True
ohmyzsh/ohmyzsh,189216,Shell,0,16.96,0.0,True
microsoft/vscode,188772,TypeScript,233,10.95,21.28,False
massgravel/Microsoft-Activation-Scripts,187189,Batchfile,31,6.59,4.7,False
Significant-Gravitas/AutoGPT,186633,Python,117,3.42,34.21,False
CyC2018/CS-Notes,185335,N/A,0,8.5,0.0,True
jackfrued/Python-100-Days,185228,Jupyter Notebook,0,8.46,0.0,True
yt-dlp/yt-dlp,184812,Python,135,5.8,23.28,False
getify/You-Dont-Know-JS,184662,N/A,0,12.75,0.0,True
avelino/awesome-go,181210,Go,0,12.11,0.0,True
ollama/ollama,178684,Go,245,3.14,78.03,False
flutter/flutter,178416,Dart,7,11.44,0.61,False
github/gitignore,175300,N/A,0,15.77,0.0,True
twbs/bootstrap,174601,MDX,94,15.05,6.25,False
microsoft/markitdown,174047,Python,20,1.75,11.43,False
521xueweihan/HelloGitHub,171184,Python,68,10.28,6.61,False
anthropics/skills,169696,Python,0,0.9,0.0,True
firecrawl/firecrawl,168078,TypeScript,35,2.33,15.02,False
f/prompts.chat,167261,HTML,0,3.7,0.0,True
AUTOMATIC1111/stable-diffusion-webui,164524,Python,27,3.98,6.78,False
huggingface/transformers,164145,Python,269,7.8,34.49,False
jlevy/the-art-of-command-line,162115,N/A,0,11.24,0.0,True
Snailclimb/JavaGuide,157791,JavaScript,0,8.28,0.0,True
langflow-ai/langflow,153312,Python,303,3.52,86.08,False
langgenius/dify,152597,TypeScript,168,3.35,50.15,False
open-webui/open-webui,148939,Python,167,2.86,58.39,False
airbnb/javascript,148147,JavaScript,0,13.79,0.0,True
Genymobile/scrcpy,147756,C,52,8.73,5.96,False
msitarzewski/agency-agents,145742,Shell,0,0.84,0.0,True
langchain-ai/langchain,144338,Python,1329,3.83,347.0,False
x1xhlol/system-prompts-and-models-of-ai-tools,142865,N/A,0,1.45,0.0,True
yangshun/tech-interview-handbook,141888,TypeScript,0,10.11,0.0,True
vercel/next.js,141799,JavaScript,3805,9.86,385.9,False
anthropics/claude-code,141642,Python,189,1.48,127.7,False
ytdl-org/youtube-dl,140961,Python,341,15.79,21.6,False
clash-verge-rev/clash-verge-rev,138170,TypeScript,67,2.73,24.54,False
microsoft/PowerToys,137801,C,139,7.29,19.07,False
iptv-org/iptv,135972,TypeScript,0,7.75,0.0,True
golang/go,135800,Go,0,11.99,0.0,True
labuladong/fucking-algorithm,135357,Markdown,0,6.49,0.0,True
Shubhamsaboo/awesome-llm-apps,132851,Python,0,2.3,0.0,True
ripienaar/free-for-dev,131951,HTML,0,11.41,0.0,True
excalidraw/excalidraw,129768,TypeScript,15,6.62,2.27,False
github/spec-kit,129448,Python,212,0.98,216.33,False
krahets/hello-algo,129421,Java,10,3.78,2.65,False
Chalarangelo/30-seconds-of-code,128723,JavaScript,12,8.71,1.38,False
deepseek-ai/deepseek-harness,128720,TypeScript,0,0.01,0.0,True
garrytan/gstack,128227,TypeScript,0,0.43,0.0,True
Comfy-Org/ComfyUI,127919,Python,153,3.58,42.74,False
farion1231/cc-switch,127573,Rust,50,1.03,48.54,False
react/react-native,126352,C++,471,11.6,40.6,False
kubernetes/kubernetes,124510,Go,810,12.19,66.45,False
ggml-org/llama.cpp,124134,C++,6878,3.43,2005.25,False
electron/electron,122515,C++,1981,13.34,148.5,False
