repo,stars,primary_language,releases,age_years,releases_por_ano,sem_release
shadcn-ui/ui,121417,TypeScript,117,3.61,32.41,False
rustdesk/rustdesk,120961,Rust,39,5.88,6.63,False
nodejs/node,118952,JavaScript,512,11.72,43.69,False
Hack-with-Github/Awesome-Hacking,118434,N/A,0,10.38,0.0,True
justjavac/free-programming-books-zh_CN,118359,N/A,3,12.78,0.23,False
microsoft/generative-ai-for-beginners,117858,Jupyter Notebook,0,3.16,0.0,True
nextlevelbuilder/ui-ux-pro-max-skill,117258,Python,41,0.71,57.75,False
godotengine/godot,115741,C++,71,12.61,5.63,False
rust-lang/rust,115517,Rust,153,16.16,9.47,False
mrdoob/three.js,114550,JavaScript,177,16.4,10.79,False
2dust/v2rayN,113975,C#,333,7.05,47.23,False
d3/d3,113459,Shell,194,15.88,12.22,False
jaywcjlove/awesome-mac,111177,Swift,15,10.08,1.49,False
immich-app/immich,110721,TypeScript,305,4.53,67.33,False
tauri-apps/tauri,110260,Rust,1636,7.09,230.75,False
microsoft/TypeScript,110177,TypeScript,217,12.16,17.85,False
browser-use/browser-use,109406,Python,134,1.79,74.86,False
axios/axios,109206,JavaScript,123,11.99,10.26,False
fatedier/frp,108811,Go,116,10.65,10.89,False
papers-we-love/papers-we-love,108787,Shell,0,12.67,0.0,True
VoltAgent/awesome-design-md,108714,N/A,0,0.38,0.0,True
denoland/deno,108249,Rust,388,8.25,47.03,False
supabase/supabase,108049,TypeScript,30,6.84,4.39,False
openai/whisper,107373,Python,13,3.91,3.32,False
Graphify-Labs/graphify,106991,Python,190,0.37,513.51,False
google-gemini/gemini-cli,106530,TypeScript,586,1.33,440.6,False
openai/codex,106239,Rust,991,1.34,739.55,False
goldbergyoni/nodebestpractices,105556,Dockerfile,0,8.92,0.0,True
microsoft/terminal,104623,C++,156,9.01,17.31,False
deepseek-ai/DeepSeek-V3,104305,Python,1,1.64,0.61,False
harry0703/MoneyPrinterTurbo,104299,Python,17,2.43,7.0,False
DietrichGebert/ponytail,103886,JavaScript,15,0.18,83.33,False
react/create-react-app,103293,JavaScript,83,10.08,8.23,False
rasbt/LLMs-from-scratch,102786,Jupyter Notebook,0,3.06,0.0,True
pytorch/pytorch,102402,Python,68,10.01,6.79,False
Anduin2017/HowToCook,101847,N/A,5,6.46,0.77,False
neovim/neovim,101842,Vim Script,54,12.54,4.31,False
fastapi/fastapi,101627,Python,301,7.69,39.14,False
angular/angular,101003,TypeScript,689,11.91,57.85,False
ruanyf/weekly,100530,N/A,0,7.84,0.0,True
mtdvio/every-programmer-should-know,100246,N/A,0,8.98,0.0,True
ant-design/ant-design,99086,TypeScript,758,11.31,67.02,False
mui/material-ui,98828,JavaScript,572,11.99,47.71,False
JuliusBrussee/caveman,98499,Go,19,0.37,51.35,False
TauricResearch/TradingAgents,98451,Python,8,1.63,4.91,False
nvbn/thefuck,97712,Python,17,11.36,1.5,False
tailwindlabs/tailwindcss,97255,TypeScript,307,8.86,34.65,False
florinpop17/app-ideas,96828,N/A,0,7.47,0.0,True
microsoft/Web-Dev-For-Beginners,96359,JavaScript,0,5.76,0.0,True
hacksider/Deep-Live-Cam,95965,Python,13,2.89,4.5,False
puppeteer/puppeteer,95462,TypeScript,698,9.27,75.3,False
oven-sh/bun,95428,Rust,214,5.34,40.07,False
ryanmcdermott/clean-code-javascript,94761,JavaScript,0,9.72,0.0,True
nvm-sh/nvm,94608,Shell,73,16.33,4.47,False
microsoft/playwright,94583,TypeScript,165,6.75,24.44,False
iluwatar/java-design-patterns,94564,Java,0,12.02,0.0,True
karpathy/autoresearch,93938,Python,0,0.44,0.0,True
punkpeye/awesome-mcp-servers,92420,N/A,0,1.71,0.0,True
deepseek-ai/DeepSeek-R1,92026,N/A,1,1.57,0.64,False
earendil-works/pi,91337,TypeScript,255,1.02,250.0,False
3b1b/manim,91310,Python,13,11.4,1.14,False
thedotmack/claude-mem,90881,JavaScript,306,0.96,318.75,False
storybookjs/storybook,90858,TypeScript,1834,10.41,176.18,False
opencv/opencv,90454,C++,69,14.08,4.9,False
ruvnet/RuView,90344,Rust,280,1.19,235.29,False
louislam/uptime-kuma,90218,JavaScript,131,5.12,25.59,False
PanJiaChen/vue-element-admin,90199,Vue,49,9.33,5.25,False
home-assistant/core,89934,Python,1630,12.91,126.26,False
bitcoin/bitcoin,89915,C++,68,15.66,4.34,False
mermaid-js/mermaid,89792,TypeScript,201,11.79,17.05,False
sherlock-project/sherlock,89645,Python,2,7.64,0.26,False
modelcontextprotocol/servers,89611,TypeScript,26,1.74,14.94,False
Stirling-Tools/Stirling-PDF,89604,Java,186,3.55,52.39,False
microsoft/ML-For-Beginners,89434,Jupyter Notebook,0,5.45,0.0,True
gohugoio/hugo,89433,Go,381,13.12,29.04,False
vllm-project/vllm,89186,Python,103,3.52,29.26,False
gin-gonic/gin,89078,Go,29,12.16,2.38,False
astral-sh/uv,88782,Rust,303,2.87,105.57,False
zed-industries/zed,88685,Rust,1281,5.48,233.76,False
ChatGPTNextWeb/NextChat,88619,TypeScript,77,3.43,22.45,False
infiniflow/ragflow,88590,Go,52,2.68,19.4,False
localsend/localsend,88474,Dart,26,3.67,7.08,False
django/django,88430,Python,0,14.3,0.0,True
MunGell/awesome-for-beginners,88427,N/A,0,10.81,0.0,True
sveltejs/svelte,87972,JavaScript,635,9.73,65.26,False
PaddlePaddle/PaddleOCR,87738,Python,33,6.27,5.26,False
syncthing/syncthing,87708,Go,478,12.72,37.58,False
addyosmani/agent-skills,87674,JavaScript,9,0.5,18.0,False
nexu-io/open-design,87396,TypeScript,27,0.3,90.0,False
ByteByteGoHq/system-design-101,87179,N/A,0,2.91,0.0,True
odysseus-dev/odysseus,85454,Python,0,0.21,0.0,True
laravel/laravel,84808,Blade,226,15.19,14.88,False
macrozheng/mall,84558,Java,3,8.37,0.36,False
OpenHands/OpenHands,84200,TypeScript,132,2.43,54.32,False
realworld-apps/realworld,84084,TypeScript,0,10.47,0.0,True
DopplerHQ/awesome-interview-questions,84074,N/A,0,10.72,0.0,True
bregman-arie/devops-exercises,84067,Python,0,6.87,0.0,True
OpenCut-app/OpenCut,83658,TypeScript,3,1.15,2.61,False
Developer-Y/cs-video-courses,83057,N/A,0,9.82,0.0,True
animate-css/animate.css,82737,CSS,22,14.84,1.48,False
junegunn/fzf,82541,Go,83,12.81,6.48,False
fighting41love/funNLP,82499,Python,0,7.99,0.0,True
vitejs/vite,82365,TypeScript,713,6.32,112.82,False
koala73/worldmonitor,82328,TypeScript,43,0.6,71.67,False
tonsky/FiraCode,81923,Clojure,29,11.76,2.47,False
lobehub/lobehub,81741,TypeScript,2990,3.24,922.84,False
mlabonne/llm-course,81716,N/A,0,3.16,0.0,True
jesseduffield/lazygit,81375,Go,186,8.24,22.57,False
spring-projects/spring-boot,81302,Java,352,13.82,25.47,False
netdata/netdata,80203,Go,138,13.16,10.49,False
swisskyrepo/PayloadsAllTheThings,80092,Python,5,9.83,0.51,False
bytedance/deer-flow,80091,Python,1,1.28,0.78,False
hoppscotch/hoppscotch,80043,TypeScript,107,6.99,15.31,False
anuraghazra/github-readme-stats,79825,JavaScript,0,6.1,0.0,True
TapXWorld/ChinaTextbook,79807,Roff,0,6.61,0.0,True
d2l-ai/d2l-zh,79743,Python,16,8.98,1.78,False
Egonex-AI/Understand-Anything,79494,TypeScript,8,0.42,19.05,False
doocs/advanced-java,79054,Java,1,7.86,0.13,False
Z4nzu/hackingtool,78989,Python,0,6.35,0.0,True
coder/code-server,78877,TypeScript,252,7.46,33.78,False
ventoy/Ventoy,78748,C,115,6.43,17.88,False
paperclipai/paperclip,78437,TypeScript,19,0.46,41.3,False
unclecode/crawl4ai,78346,Python,20,2.27,8.81,False
awesomedata/awesome-public-datasets,78113,N/A,1,11.74,0.09,False
elastic/elasticsearch,77835,Java,260,16.52,15.74,False
opendatalab/MinerU,77736,Python,186,2.46,75.61,False
tensorflow/models,77653,Python,51,10.53,4.84,False
dair-ai/Prompt-Engineering-Guide,77502,MDX,0,3.67,0.0,True
nomic-ai/gpt4all,77412,C++,38,3.39,11.21,False
Leonxlnx/taste-skill,77044,JavaScript,0,0.48,0.0,True
FortAwesome/Font-Awesome,76842,JavaScript,65,14.49,4.49,False
MisterBooo/LeetCodeAnimation,76693,Java,0,7.69,0.0,True
nestjs/nest,76392,TypeScript,158,9.52,16.6,False
grafana/grafana,76294,TypeScript,635,12.68,50.08,False
rtk-ai/rtk,76276,Rust,276,0.56,492.86,False
sdmg15/Best-websites-a-programmer-should-visit,76269,N/A,0,9.45,0.0,True
redis/redis,76028,C,142,17.4,8.16,False
tesseract-ocr/tesseract,75944,C++,36,12.01,3.0,False
typicode/json-server,75692,JavaScript,49,12.72,3.85,False
ocornut/imgui,75675,C++,122,12.07,10.11,False
AppFlowy-IO/AppFlowy,75537,Dart,142,5.17,27.47,False
openai/openai-cookbook,75257,Jupyter Notebook,0,4.43,0.0,True
obsproject/obs-studio,75085,C,247,12.87,19.19,False
PKUFlyingPig/cs-self-learning,74969,HTML,5,4.82,1.04,False
caddyserver/caddy,74946,Go,136,11.59,11.73,False
D4Vinci/Scrapling,74474,Python,52,1.84,28.26,False
shareAI-lab/learn-claude-code,74370,Python,0,1.13,0.0,True
python/cpython,74334,Python,0,9.51,0.0,True
enaqx/awesome-react,74291,N/A,0,12.03,0.0,True
apache/superset,74278,Python,267,11.07,24.12,False
hiyouga/LlamaFactory,74139,Python,36,3.22,11.18,False
abi/screenshot-to-code,74045,Python,0,2.75,0.0,True
josephmisiti/awesome-machine-learning,74034,Python,0,12.08,0.0,True
Eugeny/tabby,73946,TypeScript,209,9.65,21.66,False
unionlabs/union,73855,Rust,113,3.25,34.77,False
twitter/the-algorithm,73781,Scala,0,3.39,0.0,True
vuejs/awesome-vue,73543,N/A,0,10.82,0.0,True
thedaviddias/Front-End-Checklist,73540,MDX,2,8.83,0.23,False
binhnguyennus/awesome-scalability,73314,N/A,0,8.64,0.0,True
CompVis/stable-diffusion,73297,Jupyter Notebook,0,4.02,0.0,True
datawhalechina/hello-agents,73201,Python,3,0.94,3.19,False
strapi/strapi,72938,TypeScript,541,10.88,49.72,False
danielmiessler/SecLists,72879,PHP,30,14.49,2.07,False
fffaraz/awesome-cpp,72780,N/A,0,12.08,0.0,True
ComposioHQ/awesome-claude-skills,72603,Python,0,0.83,0.0,True
NationalSecurityAgency/ghidra,72410,Java,54,7.46,7.24,False
unslothai/unsloth,72369,Python,54,2.71,19.93,False
microsoft/ai-agents-for-beginners,72290,Jupyter Notebook,0,1.71,0.0,True
Panniantong/Agent-Reach,72245,Python,7,0.47,14.89,False
juliangarnier/anime,72195,JavaScript,37,10.42,3.55,False
pallets/flask,72159,Python,38,16.36,2.32,False
hakimel/reveal.js,72131,JavaScript,51,15.19,3.36,False
chrislgarry/Apollo-11,72082,Assembly,0,12.37,0.0,True
daytonaio/daytona,71998,N/A,205,2.52,81.35,False
moby/moby,71981,Go,308,13.57,22.7,False
OpenBB-finance/OpenBB,71929,Python,56,5.65,9.91,False
protocolbuffers/protobuf,71734,C++,218,11.97,18.21,False
toeverything/AFFiNE,71585,TypeScript,573,4.04,141.83,False
nektos/act,71512,Go,97,7.62,12.73,False
binary-husky/gpt_academic,71196,Python,32,3.41,9.38,False
Asabeneh/30-Days-Of-Python,71061,Python,0,6.74,0.0,True
666ghj/MiroFish,71029,Python,3,0.72,4.17,False
prakhar1989/awesome-courses,70445,N/A,0,11.75,0.0,True
ansible/ansible,70334,Python,252,14.44,17.45,False
swiftlang/swift,70256,Swift,70,10.81,6.48,False
FoundationAgents/MetaGPT,69855,Python,22,3.13,7.03,False
expressjs/express,69367,JavaScript,165,17.14,9.63,False
base/node,68434,Shell,86,3.54,24.29,False
openinterpreter/openinterpreter,68033,Rust,63,3.09,20.39,False
ruvnet/ruflo,67975,TypeScript,1630,1.2,1358.33,False
code-yeongyu/oh-my-openagent,67943,TypeScript,232,0.7,331.43,False
chartjs/Chart.js,67646,JavaScript,117,13.41,8.72,False
BurntSushi/ripgrep,67327,Rust,75,10.43,7.19,False
labmlai/annotated_deep_learning_paper_implementations,67308,Python,0,5.97,0.0,True
apache/echarts,67081,TypeScript,125,13.37,9.35,False
gorhill/uBlock,67010,JavaScript,288,11.37,25.33,False
scikit-learn/scikit-learn,66960,Python,50,16.0,3.12,False
bradtraversy/design-resources-for-developers,66666,N/A,0,6.28,0.0,True
colbymchenry/codegraph,66593,C,30,0.57,52.63,False
xtekky/gpt4free,66557,Python,503,3.38,148.82,False
sindresorhus/awesome-nodejs,66531,N/A,0,12.1,0.0,True
headroomlabs-ai/headroom,66511,Python,162,0.6,270.0,False
leonardomso/33-js-concepts,66510,JavaScript,0,7.95,0.0,True
cline/cline,66274,TypeScript,371,2.11,175.83,False
TheAlgorithms/Java,66156,Java,0,10.08,0.0,True
webpack/webpack,65973,JavaScript,462,14.43,32.02,False
facebook/docusaurus,65931,TypeScript,157,9.16,17.14,False
prometheus/prometheus,65714,Go,376,13.72,27.41,False
LadybirdBrowser/ladybird,65687,C++,0,2.21,0.0,True
kelseyhightower/nocode,65633,Dockerfile,1,8.52,0.12,False
dani-garcia/vaultwarden,65487,Rust,85,8.49,10.01,False
alacritty/alacritty,65394,Rust,108,10.49,10.3,False
lydiahallie/javascript-questions,65317,N/A,0,7.18,0.0,True
kdn251/interviews,65199,Java,0,9.5,0.0,True
localstack/localstack,65147,Python,106,9.8,10.82,False
Fission-AI/OpenSpec,65046,TypeScript,44,1.03,42.72,False
microsoft/AI-For-Beginners,65041,Jupyter Notebook,0,5.45,0.0,True
docling-project/docling,64837,Python,204,2.1,97.14,False
Mintplex-Labs/anything-llm,64767,JavaScript,34,3.2,10.62,False
gsd-build/get-shit-done,64687,JavaScript,78,0.67,116.42,False
shanraisshan/claude-code-best-practice,64562,HTML,0,0.79,0.0,True
nocodb/nocodb,64553,TypeScript,198,8.79,22.53,False
traefik/traefik,64452,Go,551,10.92,50.46,False
ryanoasis/nerd-fonts,64267,CSS,39,11.7,3.33,False
warpdotdev/warp,64253,Rust,56,5.1,10.98,False
keras-team/keras,64232,Python,93,11.39,8.17,False
santifer/career-ops,64047,JavaScript,33,0.36,91.67,False
rust-lang/rustlings,63878,Rust,46,10.92,4.21,False
scrapy/scrapy,63874,Python,52,16.48,3.16,False
tw93/Mole,63710,Shell,61,0.9,67.78,False
commaai/openpilot,63426,Python,63,9.72,6.48,False
tldr-pages/tldr,63411,Markdown,6,12.69,0.47,False
mem0ai/mem0,63373,Python,381,3.16,120.57,False
FFmpeg/FFmpeg,63350,C,0,15.34,0.0,True
socketio/socket.io,63195,TypeScript,98,16.43,5.96,False
ZhuLinsen/daily_stock_analysis,63027,Python,34,0.6,56.67,False
asgeirtj/system_prompts_leaks,62995,JavaScript,0,1.29,0.0,True
virattt/ai-hedge-fund,62887,Python,11,1.71,6.43,False
resume/resume.github.com,62886,JavaScript,0,15.52,0.0,True
jgraph/drawio-desktop,62642,JavaScript,187,9.22,20.28,False
git/git,62596,C,0,18.06,0.0,True
NanmiCoder/MediaCrawler,62537,Python,0,3.19,0.0,True
pathwaycom/pathway,62454,Python,89,3.72,23.92,False
usememos/memos,62281,Go,96,4.69,20.47,False
topjohnwu/Magisk,62255,Kotlin,156,9.94,15.69,False
youngyangyang04/leetcode-master,62184,Shell,0,6.67,0.0,True
karpathy/nanoGPT,62145,Python,0,3.63,0.0,True
withastro/astro,61811,TypeScript,3178,5.42,586.35,False
PlexPt/awesome-chatgpt-prompts-zh,61610,N/A,0,3.68,0.0,True
reduxjs/redux,61512,TypeScript,78,11.21,6.96,False
FuelLabs/sway,61504,Rust,189,5.57,33.93,False
sansan0/TrendRadar,61503,Python,0,1.3,0.0,True
minio/minio,61393,Go,521,11.58,44.99,False
lodash/lodash,61266,JavaScript,4,14.36,0.28,False
2dust/v2rayNG,61161,Kotlin,308,7.26,42.42,False
RVC-Boss/GPT-SoVITS,60940,Python,4,2.58,1.55,False
Solido/awesome-flutter,60928,Dart,0,9.28,0.0,True
h5bp/Front-end-Developer-Interview-Questions,60879,Nunjucks,0,14.51,0.0,True
xingshaocheng/architect-awesome,60839,N/A,0,8.36,0.0,True
upstash/context7,60837,TypeScript,104,1.39,74.82,False
1c7/chinese-independent-developer,60808,Python,0,8.9,0.0,True
atom/atom,60785,JavaScript,538,14.57,36.93,False
nuxt/nuxt,60758,TypeScript,291,9.8,29.69,False
tw93/Pake,60743,Rust,51,3.84,13.28,False
pocketbase/pocketbase,60693,Go,284,4.11,69.1,False
ChrisTitusTech/winutil,60673,PowerShell,45,4.3,10.47,False
ultralytics/ultralytics,60659,Python,448,3.93,113.99,False
coollabsio/coolify,60648,PHP,687,5.55,123.78,False
microsoft/autogen,60453,Python,98,3.0,32.67,False
pi-hole/pi-hole,60397,Shell,126,12.19,10.34,False
adam-p/markdown-here,60249,JavaScript,17,14.26,1.19,False
sharkdp/bat,60192,Rust,43,8.32,5.17,False
spring-projects/spring-framework,60190,Java,363,15.69,23.14,False
marktext/marktext,60125,TypeScript,47,8.76,5.37,False
CorentinJ/Real-Time-Voice-Cloning,60089,Python,0,7.23,0.0,True
jquery/jquery,59781,JavaScript,13,17.37,0.75,False
ghostty-org/ghostty,59722,Zig,1,4.38,0.23,False
pbakaus/impeccable,59602,JavaScript,45,0.75,60.0,False
shadowsocks/shadowsocks-windows,59582,C#,55,13.59,4.05,False
meta-llama/llama,59556,Python,0,3.5,0.0,True
FiloSottile/mkcert,59457,Go,14,8.14,1.72,False
starship/starship,59426,Rust,141,7.37,19.13,False
termux/termux-app,59304,Java,95,10.81,8.79,False
rclone/rclone,59182,Go,131,12.42,10.55,False
pathwaycom/llm-app,59033,Jupyter Notebook,0,3.08,0.0,True
meilisearch/meilisearch,58981,Rust,330,8.31,39.71,False
byoungd/up,58886,JavaScript,0,9.21,0.0,True
rust-unofficial/awesome-rust,58851,Rust,0,12.08,0.0,True
penpot/penpot,58690,Clojure,84,10.63,7.9,False
rails/rails,58684,Ruby,168,18.35,9.16,False
pmndrs/zustand,58573,TypeScript,105,7.35,14.29,False
angular/angular.js,58540,JavaScript,0,16.61,0.0,True
tiimgreen/github-cheat-sheet,58538,N/A,0,12.34,0.0,True
MemPalace/mempalace,58407,Python,15,0.36,41.67,False
mvanhorn/last30days-skill,58368,Python,40,0.56,71.43,False
FoundationAgents/OpenManus,57983,Python,3,1.45,2.07,False
ultralytics/yolov5,57878,Python,10,6.25,1.6,False
h5bp/html5-boilerplate,57594,JavaScript,34,16.56,2.05,False
scutan90/DeepLearning-500-questions,57531,JavaScript,0,8.14,0.0,True
deepfakes/faceswap,57462,Python,5,8.66,0.58,False
zylon-ai/private-gpt,57447,Python,14,3.29,4.26,False
go-gitea/gitea,57409,Go,235,9.79,24.0,False
karpathy/nanochat,57240,Python,0,0.84,0.0,True
wasabeef/awesome-android-ui,57214,N/A,0,11.64,0.0,True
crewAIInc/crewAI,57161,Python,230,2.8,82.14,False
Textualize/rich,57074,Python,177,6.77,26.14,False
appwrite/appwrite,57022,TypeScript,132,7.35,17.96,False
FuelLabs/fuel-core,56906,Rust,130,5.97,21.78,False
soimort/you-get,56872,Python,123,13.99,8.79,False
ageitgey/face_recognition,56656,Python,2,9.45,0.21,False
remix-run/react-router,56551,TypeScript,343,12.25,28.0,False
remotion-dev/remotion,56473,TypeScript,671,6.14,109.28,False
BerriAI/litellm,56461,Python,1441,3.06,470.92,False
golang-standards/project-layout,56457,Makefile,0,8.93,0.0,True
Zie619/n8n-workflows,56065,Python,1,1.26,0.79,False
makeplane/plane,56009,TypeScript,62,3.74,16.58,False
laurent22/joplin,55970,TypeScript,416,9.58,43.42,False
gatsbyjs/gatsby,55942,JavaScript,158,11.24,14.06,False
jellyfin/jellyfin,55837,C#,112,7.69,14.56,False
azl397985856/leetcode,55763,JavaScript,40,8.38,4.77,False
Raphire/Win11Debloat,55570,PowerShell,37,5.8,6.38,False
firstcontributions/first-contributions,55500,N/A,0,9.9,0.0,True
typst/typst,55479,Rust,30,6.89,4.35,False
FlowiseAI/Flowise,55379,TypeScript,85,3.38,25.15,False
AntonOsika/gpt-engineer,55139,Python,21,3.3,6.36,False
twentyhq/twenty,54991,TypeScript,102,3.71,27.49,False
romkatv/powerlevel10k,54919,Shell,33,7.47,4.42,False
PowerShell/PowerShell,54899,C#,214,10.59,20.21,False
ngosang/trackerslist,54885,N/A,0,10.31,0.0,True
TryGhost/Ghost,54785,JavaScript,998,13.28,75.15,False
jingyaogong/minimind,54745,Python,2,2.05,0.98,False
facebookresearch/segment-anything,54683,Jupyter Notebook,0,3.4,0.0,True
WerWolv/ImHex,54480,C++,82,5.76,14.24,False
wagoodman/dive,54459,Go,28,8.26,3.39,False
lencx/ChatGPT,54450,Rust,34,3.69,9.21,False
maybe-finance/maybe,54325,Ruby,28,2.62,10.69,False
psf/requests,54245,Python,19,15.5,1.23,False
vuejs/core,54188,TypeScript,293,8.18,35.82,False
ElemeFE/element,54059,Vue,145,9.95,14.57,False
google/material-design-icons,53771,N/A,16,11.85,1.35,False
mozilla/pdf.js,53737,JavaScript,88,15.31,5.75,False
odoo/odoo,53737,Python,0,12.26,0.0,True
necolas/normalize.css,53519,CSS,0,15.29,0.0,True
JetBrains/kotlin,53373,Kotlin,300,14.5,20.69,False
freqtrade/freqtrade,53338,Python,116,9.25,12.54,False
usestrix/strix,53167,Python,26,1.03,25.24,False
chinese-poetry/chinese-poetry,53141,JavaScript,1,9.95,0.1,False
vsouza/awesome-ios,53077,Swift,0,12.1,0.0,True
ggml-org/whisper.cpp,52932,C++,38,3.89,9.77,False
dockur/windows,52876,Shell,126,2.59,48.65,False
aaif-goose/goose,52867,Rust,146,1.98,73.74,False
sickcodes/Docker-OSX,52861,Shell,0,6.2,0.0,True
lyswhut/lx-music-desktop,52780,TypeScript,113,7.01,16.12,False
microsoft/VibeVoice,52738,Python,0,0.97,0.0,True
ionic-team/ionic-framework,52620,TypeScript,948,12.99,72.98,False
agalwood/Motrix,52571,TypeScript,27,7.66,3.52,False
jesseduffield/lazydocker,52503,Go,47,7.25,6.48,False
hesreallyhim/awesome-claude-code,52412,Python,0,1.32,0.0,True
lllyasviel/Fooocus,52304,Python,21,3.02,6.95,False
prettier/prettier,52204,JavaScript,144,9.71,14.83,False
xai-org/grok-1,52140,Python,0,2.41,0.0,True
etcd-io/etcd,52118,Go,292,13.11,22.27,False
VoltAgent/awesome-openclaw-skills,51981,N/A,0,0.56,0.0,True
