grupo,repos,mediana_prs_aceitas,mediana_releases_por_ano,mediana_releases,mediana_dias_sem_push,mediana_idade_anos
top-10 TIOBE,506,758.5,6.51,40.5,2.765,7.69
demais linguagens,407,1076.0,14.36,86.0,2.09,7.55
sem linguagem primária,87,129.0,0.0,0.0,173.99,8.98
