metrica,recorte,repos,mediana,q1,q3,media
releases,todos os repositórios,1000,40.5,0.0,153.0,157.53
releases,apenas com release,725,95.0,31.0,216.0,217.28
releases_por_ano,todos os repositórios,1000,6.78,0.0,25.24,38.7
releases_por_ano,apenas com release,725,14.94,4.91,38.24,53.38
