repo,stars,created_at,age_years,merged_pull_requests,releases,pushed_at,updated_at,days_since_last_push,days_since_last_update,primary_language,total_issues,closed_issues,closed_issues_ratio
denysdovhan/wtfjs,37679,2017-07-14T15:42:12Z,9.09,127,25,2026-07-03T09:48:44Z,2026-08-16T15:26:50Z,44.27,0.04,JavaScript,119,96,0.8067
TencentARC/GFPGAN,37656,2021-03-19T06:18:20Z,5.41,14,8,2024-07-26T18:44:02Z,2026-08-16T14:41:38Z,750.9,0.07,Python,510,135,0.2647
NervJS/taro,37639,2018-04-08T09:32:26Z,8.36,3498,211,2026-08-11T09:35:40Z,2026-08-16T15:56:24Z,5.28,0.01,TypeScript,13572,12079,0.89
fengdu78/Coursera-ML-AndrewNg-Notes,37570,2017-11-04T10:04:08Z,8.78,14,0,2025-08-25T04:02:38Z,2026-08-16T09:02:37Z,356.51,0.3,HTML,70,15,0.2143
karpathy/LLM101n,37509,2024-05-27T00:23:38Z,2.22,0,0,2024-08-01T01:20:33Z,2026-08-16T12:12:54Z,745.62,0.17,N/A,0,0,0.0
alibaba/arthas,37487,2018-08-29T17:15:57Z,7.96,626,78,2026-08-14T02:31:32Z,2026-08-16T00:11:21Z,2.57,0.67,Java,2163,1770,0.8183
alebcay/awesome-shell,37450,2014-07-07T01:57:42Z,12.11,307,0,2025-08-28T14:40:51Z,2026-08-16T15:49:52Z,353.07,0.02,N/A,64,23,0.3594
TriliumNext/Trilium,37448,2017-05-23T00:30:20Z,9.23,3158,353,2026-08-16T15:52:25Z,2026-08-16T15:52:34Z,0.02,0.02,TypeScript,5564,4955,0.8905
aquasecurity/trivy,37431,2019-04-11T01:01:07Z,7.35,3712,92,2026-08-14T12:20:40Z,2026-08-16T15:08:29Z,2.16,0.05,Go,3114,2951,0.9477
directus/directus,37423,2012-12-12T01:35:36Z,13.68,9172,371,2026-08-14T22:04:35Z,2026-08-16T16:16:40Z,1.76,0.0,TypeScript,9989,9640,0.9651
PKUanonym/REKCARC-TSC-UHT,37419,2019-04-05T03:31:23Z,7.36,198,0,2026-07-19T14:30:25Z,2026-08-16T11:54:46Z,28.07,0.18,HTML,37,33,0.8919
LAION-AI/Open-Assistant,37408,2022-12-13T05:24:17Z,3.67,1616,127,2024-08-17T01:55:35Z,2026-08-16T13:03:37Z,729.6,0.13,Python,1650,1421,0.8612
RVC-Project/Retrieval-based-Voice-Conversion-WebUI,37385,2023-03-27T09:59:10Z,3.39,0,8,2026-08-04T07:47:32Z,2026-08-16T15:36:22Z,12.35,0.03,Python,2048,1483,0.7241
shiyu-coder/Kronos,37363,2025-07-01T02:54:32Z,1.13,19,0,2026-04-13T12:38:49Z,2026-08-16T16:13:54Z,125.15,0.0,Python,291,85,0.2921
exacity/deeplearningbook-chinese,37358,2016-12-07T11:46:51Z,9.69,16,7,2019-12-03T04:25:44Z,2026-08-16T13:03:24Z,2448.49,0.13,TeX,204,139,0.6814
eugenp/tutorials,37324,2013-04-29T18:26:36Z,13.3,13828,0,2026-08-15T06:57:58Z,2026-08-16T09:15:36Z,1.39,0.29,Java,791,778,0.9836
pbatard/rufus,37316,2011-11-19T19:12:05Z,14.74,1,90,2026-08-03T11:33:58Z,2026-08-16T14:21:56Z,13.2,0.08,C,2697,2688,0.9967
stanfordnlp/dspy,37294,2023-01-09T21:01:51Z,3.6,1695,110,2026-08-15T04:33:18Z,2026-08-16T16:04:20Z,1.49,0.01,Python,1654,1342,0.8114
openai/gym,37239,2016-04-27T14:59:16Z,10.3,1000,19,2026-03-26T23:13:27Z,2026-08-15T05:10:22Z,142.71,1.46,Python,1839,1726,0.9386
0voice/interview_internal_reference,37234,2019-06-10T06:54:19Z,7.18,35,0,2025-10-22T09:39:06Z,2026-08-16T12:56:54Z,298.28,0.14,Python,51,19,0.3725
Wei-Shaw/sub2api,37209,2025-12-18T02:26:18Z,0.66,1395,37,2026-08-16T07:58:07Z,2026-08-16T16:13:54Z,0.35,0.0,Go,2931,920,0.3139
myshell-ai/OpenVoice,37146,2023-11-29T12:17:01Z,2.71,18,0,2025-04-19T16:00:00Z,2026-08-16T12:46:21Z,484.01,0.15,Python,359,75,0.2089
IceWhaleTech/CasaOS,37075,2021-09-26T02:33:09Z,4.89,275,97,2025-08-06T08:54:04Z,2026-08-16T15:01:39Z,375.31,0.05,Go,1721,904,0.5253
huggingface/pytorch-image-models,37068,2019-02-02T05:51:12Z,7.53,559,78,2026-08-11T20:56:26Z,2026-08-16T15:56:33Z,4.81,0.01,Python,1036,994,0.9595
satwikkansal/wtfpython,37056,2017-08-28T20:22:19Z,8.96,113,2,2026-01-13T19:49:12Z,2026-08-16T11:51:25Z,214.85,0.18,Python,226,158,0.6991
markedjs/marked,37050,2011-07-24T13:15:51Z,15.06,1735,178,2026-08-15T18:57:46Z,2026-08-16T15:25:12Z,0.89,0.04,JavaScript,1685,1677,0.9953
SagerNet/sing-box,37039,2022-06-30T13:27:22Z,4.13,210,582,2026-08-15T14:11:42Z,2026-08-16T16:01:31Z,1.09,0.01,Go,3277,3015,0.92
patchy631/ai-engineering-hub,37007,2024-10-21T10:43:24Z,1.82,68,0,2026-07-27T18:43:06Z,2026-08-16T15:04:58Z,19.9,0.05,Jupyter Notebook,50,27,0.54
fastify/fastify,36997,2016-09-28T19:10:14Z,9.88,3447,321,2026-08-16T13:56:42Z,2026-08-16T13:57:06Z,0.1,0.1,JavaScript,2184,2133,0.9766
AobingJava/JavaFamily,36972,2019-11-12T04:26:18Z,6.76,2,0,2025-11-03T12:37:27Z,2026-08-16T06:53:42Z,286.15,0.39,N/A,66,60,0.9091
Textualize/textual,36949,2021-04-08T15:24:47Z,5.36,2311,223,2026-07-11T06:02:34Z,2026-08-16T07:06:56Z,36.43,0.38,Python,2434,2202,0.9047
mouredev/Hello-Python,36941,2022-08-03T17:14:53Z,4.03,0,0,2025-08-11T12:00:01Z,2026-08-16T08:15:15Z,370.18,0.33,Python,443,404,0.912
babysor/MockingBird,36909,2021-08-07T03:53:39Z,5.02,82,1,2026-03-03T14:59:58Z,2026-08-16T15:02:35Z,166.05,0.05,Python,891,414,0.4646
lfnovo/open-notebook,36908,2024-10-21T17:58:46Z,1.82,460,42,2026-08-16T14:51:59Z,2026-08-16T16:06:29Z,0.06,0.01,TypeScript,574,470,0.8188
soxoj/maigret,36806,2020-06-27T14:16:42Z,6.14,1057,29,2026-08-16T10:04:30Z,2026-08-16T15:33:30Z,0.26,0.03,Python,1588,1576,0.9924
CopilotKit/CopilotKit,36788,2023-06-19T04:08:31Z,3.16,3866,1433,2026-08-16T04:28:34Z,2026-08-16T12:49:19Z,0.49,0.14,TypeScript,1223,1077,0.8806
shadowsocks/shadowsocks-android,36753,2012-12-16T13:40:29Z,13.66,258,186,2026-08-09T11:06:54Z,2026-08-16T15:33:31Z,7.22,0.03,Kotlin,2526,2458,0.9731
musistudio/claude-code-router,36684,2025-02-25T02:17:18Z,1.47,74,22,2026-08-14T15:21:11Z,2026-08-16T16:12:28Z,2.04,0.0,TypeScript,1282,387,0.3019
veggiemonk/awesome-docker,36646,2014-09-21T17:01:48Z,11.9,1047,1,2026-07-29T22:24:33Z,2026-08-16T16:00:34Z,17.74,0.01,N/A,155,150,0.9677
Dokploy/dokploy,36644,2024-04-19T07:49:30Z,2.32,1669,168,2026-08-14T16:20:42Z,2026-08-16T15:02:44Z,2.0,0.05,TypeScript,2103,1623,0.7718
typeorm/typeorm,36631,2016-02-29T07:41:14Z,10.46,2669,45,2026-08-13T06:47:32Z,2026-08-16T12:07:57Z,3.4,0.17,TypeScript,8635,8195,0.949
google-ai-edge/mediapipe,36628,2019-06-13T19:16:41Z,7.17,201,67,2026-08-12T21:50:21Z,2026-08-16T15:51:27Z,3.77,0.02,C++,5664,5307,0.937
date-fns/date-fns,36626,2014-10-06T10:24:22Z,11.86,1073,127,2026-08-10T08:47:59Z,2026-08-16T16:00:13Z,6.31,0.01,TypeScript,2055,1390,0.6764
microsoft/Data-Science-For-Beginners,36626,2021-03-03T16:30:15Z,5.45,497,0,2026-08-11T19:43:58Z,2026-08-16T15:17:02Z,4.86,0.04,Jupyter Notebook,138,137,0.9928
jaywcjlove/linux-command,36584,2016-11-12T15:44:26Z,9.76,377,32,2026-08-11T18:01:06Z,2026-08-16T15:17:36Z,4.93,0.04,Markdown,212,139,0.6557
ashishpatel26/500-AI-Agents-Projects,36565,2024-12-20T13:37:15Z,1.65,17,0,2026-07-27T05:40:40Z,2026-08-16T15:44:59Z,20.44,0.02,Python,46,10,0.2174
mpv-player/mpv,36557,2012-10-13T08:08:44Z,13.84,4134,89,2026-08-16T11:43:20Z,2026-08-16T15:05:46Z,0.19,0.05,C,11140,10142,0.9104
1Panel-dev/1Panel,36548,2022-07-19T15:44:52Z,4.08,5352,125,2026-08-14T02:55:47Z,2026-08-16T15:41:13Z,2.56,0.03,Go,6876,6602,0.9602
ZuodaoTech/everyone-can-use-english,36543,2019-03-15T16:33:53Z,7.42,464,48,2026-06-29T09:40:15Z,2026-08-16T16:12:53Z,48.28,0.0,TypeScript,505,383,0.7584
inkonchain/docs,36525,2024-05-07T16:49:36Z,2.27,418,0,2026-08-13T14:41:21Z,2026-08-16T14:31:33Z,3.07,0.07,MDX,41,13,0.3171
khoj-ai/khoj,36516,2021-08-16T01:48:44Z,5.0,500,173,2026-08-02T01:55:40Z,2026-08-16T14:57:39Z,14.6,0.06,Python,605,507,0.838
xinntao/Real-ESRGAN,36489,2021-07-19T03:23:30Z,5.08,21,10,2024-08-06T13:15:18Z,2026-08-16T14:41:47Z,740.13,0.07,Python,764,179,0.2343
inkonchain/node,36478,2024-05-13T23:20:40Z,2.26,40,6,2026-08-05T18:22:59Z,2026-08-16T14:31:36Z,10.91,0.07,Shell,31,14,0.4516
hankcs/HanLP,36476,2014-10-09T06:36:16Z,11.85,79,62,2025-11-15T23:08:17Z,2026-08-16T16:00:03Z,273.71,0.01,Python,1424,1416,0.9944
doocs/leetcode,36462,2018-09-16T14:03:03Z,7.92,4703,21,2026-08-16T15:49:01Z,2026-08-16T12:34:02Z,0.02,0.16,Java,64,60,0.9375
nextcloud/server,36443,2016-06-02T07:44:14Z,10.2,34094,461,2026-08-16T14:51:17Z,2026-08-16T15:26:24Z,0.06,0.04,PHP,21450,18809,0.8769
open-guides/og-aws,36438,2016-07-13T17:30:16Z,10.09,498,0,2024-08-16T02:51:54Z,2026-08-16T15:25:20Z,730.56,0.04,Shell,229,89,0.3886
songquanpeng/one-api,36402,2023-04-22T12:39:24Z,3.32,287,55,2026-01-09T03:26:43Z,2026-08-16T15:45:42Z,219.54,0.02,JavaScript,1831,900,0.4915
glanceapp/glance,36400,2024-04-27T18:55:38Z,2.3,110,34,2026-05-30T20:36:29Z,2026-08-16T16:12:39Z,77.82,0.0,Go,534,298,0.5581
inkonchain/ink-kit,36386,2024-11-04T16:32:17Z,1.78,91,0,2025-10-20T15:44:41Z,2026-08-16T14:31:35Z,300.02,0.07,TypeScript,5,3,0.6
GorvGoyl/Clone-Wars,36360,2020-12-02T11:10:16Z,5.7,130,0,2024-08-06T12:31:36Z,2026-08-16T11:37:03Z,740.16,0.19,N/A,90,70,0.7778
formulahendry/955.WLB,36356,2019-03-27T23:53:37Z,7.39,18,0,2025-02-03T05:15:20Z,2026-08-16T12:43:03Z,559.46,0.15,N/A,262,82,0.313
SheetJS/sheetjs,36321,2012-12-03T19:25:52Z,13.7,106,0,2024-04-18T08:06:46Z,2026-08-16T10:15:10Z,850.34,0.25,N/A,2385,2266,0.9501
tinyhumansai/openhuman,36314,2026-02-18T20:01:27Z,0.49,2994,56,2026-08-15T14:26:00Z,2026-08-16T15:09:37Z,1.08,0.05,Rust,1862,1702,0.9141
reworkd/AgentGPT,36309,2023-04-07T02:29:19Z,3.36,541,12,2025-04-29T01:19:32Z,2026-08-16T13:31:09Z,474.62,0.12,TypeScript,469,337,0.7186
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,36302,2021-01-02T12:08:37Z,5.62,3,0,2025-08-01T11:54:09Z,2026-08-16T15:51:30Z,380.18,0.02,N/A,76,26,0.3421
keycloak/keycloak,36205,2013-07-02T13:38:51Z,13.12,20970,111,2026-08-16T03:16:22Z,2026-08-16T14:51:30Z,0.54,0.06,Java,19904,17218,0.8651
ItzCrazyKns/Vane,36188,2024-04-09T10:51:32Z,2.35,87,34,2026-04-11T14:33:06Z,2026-08-16T13:31:49Z,127.07,0.11,TypeScript,674,444,0.6588
PDFMathTranslate/PDFMathTranslate,36184,2024-09-06T06:56:03Z,1.94,154,24,2026-05-25T19:00:26Z,2026-08-16T16:00:57Z,82.89,0.01,Python,881,757,0.8593
microsoft/playwright-mcp,36180,2025-03-21T17:48:36Z,1.4,540,69,2026-08-12T20:16:20Z,2026-08-16T16:15:18Z,3.83,0.0,TypeScript,876,875,0.9989
jax-ml/jax,36164,2018-10-25T21:25:02Z,7.81,20660,139,2026-08-16T14:48:16Z,2026-08-16T15:14:21Z,0.06,0.04,Python,7226,5504,0.7617
AdguardTeam/AdGuardHome,36152,2016-07-06T10:31:47Z,10.11,125,243,2026-08-14T15:30:59Z,2026-08-16T15:50:07Z,2.03,0.02,TypeScript,6050,4892,0.8086
hashicorp/vault,36122,2015-02-25T00:15:59Z,11.47,21334,182,2026-08-14T23:04:00Z,2026-08-16T15:26:34Z,1.72,0.04,Go,6582,5427,0.8245
pnpm/pnpm,36109,2016-01-28T07:40:43Z,10.55,4696,1152,2026-08-16T13:48:22Z,2026-08-16T16:05:46Z,0.1,0.01,Rust,6144,3825,0.6226
firecracker-microvm/firecracker,36095,2017-10-19T06:18:47Z,8.82,3690,90,2026-08-14T16:49:57Z,2026-08-16T15:27:20Z,1.98,0.03,Rust,1509,1457,0.9655
carbon-app/carbon,36090,2017-06-16T02:50:28Z,9.17,669,215,2026-02-10T05:07:19Z,2026-08-16T04:43:43Z,187.47,0.48,JavaScript,695,629,0.905
geekxh/hello-algorithm,36086,2020-05-29T05:47:09Z,6.21,26,0,2023-06-13T04:13:17Z,2026-08-16T15:41:08Z,1160.5,0.03,Java,44,33,0.75
lerna/lerna,36053,2015-12-04T09:36:55Z,10.7,1078,252,2026-08-10T23:13:32Z,2026-08-15T08:42:04Z,5.71,1.32,TypeScript,2702,2418,0.8949
slatedocs/slate,36045,2013-09-13T22:15:24Z,12.92,298,28,2026-02-01T05:54:12Z,2026-08-15T16:33:12Z,196.43,0.99,N/A,609,559,0.9179
zsh-users/zsh-autosuggestions,35976,2013-10-26T16:09:37Z,12.8,116,0,2025-06-24T16:15:03Z,2026-08-16T15:15:46Z,418.0,0.04,Shell,623,458,0.7352
blader/humanizer,35926,2026-01-18T05:30:15Z,0.57,16,2,2026-07-22T06:26:25Z,2026-08-16T16:05:16Z,25.41,0.01,Python,90,74,0.8222
HKUDS/DeepTutor,35916,2025-12-28T15:35:54Z,0.63,267,66,2026-08-16T16:04:23Z,2026-08-16T16:10:40Z,0.01,0.0,Python,356,286,0.8034
chatwoot/chatwoot,35903,2019-08-14T06:50:51Z,7.01,6234,148,2026-08-16T09:41:15Z,2026-08-16T16:01:29Z,0.28,0.01,Ruby,5767,4804,0.833
filebrowser/filebrowser,35869,2015-09-11T21:21:58Z,10.93,847,157,2026-07-31T10:06:58Z,2026-08-16T14:32:43Z,16.26,0.07,Go,2975,2975,1.0
medusajs/medusa,35853,2020-01-18T13:39:04Z,6.58,9294,163,2026-08-15T19:33:52Z,2026-08-16T13:41:18Z,0.86,0.11,TypeScript,3902,3855,0.988
solidjs/solid,35843,2018-04-24T16:36:27Z,8.31,455,37,2026-08-12T23:15:06Z,2026-08-16T16:09:52Z,3.71,0.01,TypeScript,1365,1339,0.981
wailsapp/wails,35842,2018-12-15T23:14:06Z,7.67,2118,355,2026-08-16T15:06:41Z,2026-08-16T15:48:54Z,0.05,0.02,Go,2519,2363,0.9381
Crosstalk-Solutions/project-nomad,35840,2025-06-24T15:35:01Z,1.14,407,76,2026-08-14T22:37:04Z,2026-08-16T16:12:14Z,1.74,0.0,TypeScript,535,491,0.9178
XingangPan/DragGAN,35766,2023-05-18T10:08:02Z,3.25,18,0,2024-05-18T17:51:40Z,2026-08-15T08:20:03Z,819.93,1.33,Python,192,46,0.2396
junegunn/vim-plug,35746,2013-09-10T14:58:51Z,12.93,181,8,2026-05-22T13:40:34Z,2026-08-16T15:03:27Z,86.11,0.05,Vim Script,1045,972,0.9301
OpenBMB/VoxCPM,35732,2025-09-16T03:41:49Z,0.91,25,14,2026-08-12T14:14:37Z,2026-08-16T16:02:58Z,4.09,0.01,Python,318,227,0.7138
alan2207/bulletproof-react,35703,2021-05-30T14:47:16Z,5.21,75,0,2026-05-14T13:53:04Z,2026-08-16T13:01:35Z,94.1,0.14,TypeScript,118,81,0.6864
airbnb/lottie-android,35700,2016-10-06T22:42:42Z,9.86,720,63,2026-02-15T22:03:57Z,2026-08-16T00:34:36Z,181.76,0.65,Java,1813,1755,0.968
jondot/awesome-react-native,35692,2015-03-26T19:58:06Z,11.39,912,0,2024-07-05T13:12:41Z,2026-08-16T16:04:16Z,772.13,0.01,JavaScript,77,38,0.4935
koajs/koa,35687,2013-07-20T18:53:45Z,13.07,554,18,2026-08-11T12:48:44Z,2026-08-16T15:26:26Z,5.14,0.04,JavaScript,933,915,0.9807
opentofu/manifesto,35685,2023-08-13T16:17:24Z,3.01,765,0,2025-03-18T18:26:51Z,2026-08-15T10:51:25Z,515.91,1.23,HTML,26,14,0.5385
gchq/CyberChef,35589,2016-11-28T10:34:07Z,9.71,785,457,2026-08-14T02:06:50Z,2026-08-16T16:16:26Z,2.59,0.0,JavaScript,1249,820,0.6565
ryanhanwu/How-To-Ask-Questions-The-Smart-Way,35558,2015-03-28T16:52:40Z,11.38,98,0,2025-01-01T19:14:38Z,2026-08-16T15:26:35Z,591.88,0.04,JavaScript,30,20,0.6667
searxng/searxng,35551,2021-04-12T15:18:15Z,5.34,3143,0,2026-08-16T09:13:59Z,2026-08-16T16:06:15Z,0.29,0.01,Python,1835,1655,0.9019
restic/restic,35545,2014-04-27T14:07:58Z,12.3,2442,51,2026-08-01T20:25:16Z,2026-08-16T16:15:46Z,14.83,0.0,Go,3007,2544,0.846
refinedev/refine,35525,2021-01-20T12:01:32Z,5.57,4697,1687,2026-06-05T15:19:38Z,2026-08-16T15:27:09Z,72.04,0.03,TypeScript,1744,1733,0.9937
microsoft/graphrag,35521,2024-03-27T17:57:52Z,2.38,753,41,2026-08-14T18:16:11Z,2026-08-16T14:56:19Z,1.92,0.06,Python,830,827,0.9964
continuedev/continue,35501,2023-05-24T03:39:39Z,3.23,4078,827,2026-08-16T08:56:21Z,2026-08-16T15:14:16Z,0.31,0.04,TypeScript,6663,6166,0.9254
drizzle-team/drizzle-orm,35494,2021-06-24T09:03:05Z,5.14,713,182,2026-08-12T14:22:15Z,2026-08-16T15:53:48Z,4.08,0.02,TypeScript,3719,2341,0.6295
Yuan1z0825/nature-skills,35462,2026-04-24T03:11:46Z,0.31,133,0,2026-08-16T08:15:00Z,2026-08-16T15:59:56Z,0.33,0.01,Python,30,30,1.0
jqlang/jq,35458,2012-07-18T19:57:25Z,14.08,709,16,2026-08-12T19:02:39Z,2026-08-16T11:54:41Z,3.89,0.18,C,2350,1990,0.8468
permissionlesstech/bitchat,35423,2025-07-04T14:34:38Z,1.12,508,20,2026-08-16T06:06:55Z,2026-08-16T16:16:58Z,0.42,0.0,Swift,404,365,0.9035
alvarotrigo/fullPage.js,35410,2013-09-20T11:58:29Z,12.9,327,109,2026-03-17T16:13:31Z,2026-08-16T11:07:47Z,152.0,0.21,JavaScript,4155,4045,0.9735
kuchin/awesome-cto,35329,2016-12-16T19:22:18Z,9.66,18,0,2026-03-02T12:50:21Z,2026-08-16T11:33:00Z,167.14,0.2,N/A,15,15,1.0
casey/just,35313,2016-06-17T06:08:08Z,10.16,1794,146,2026-08-12T23:47:50Z,2026-08-16T15:36:27Z,3.69,0.03,Rust,1466,1298,0.8854
nativefier/nativefier,35286,2015-07-05T05:56:42Z,11.12,261,99,2023-09-29T13:45:16Z,2026-08-15T10:46:01Z,1052.11,1.23,TypeScript,1236,981,0.7937
typicode/husky,35274,2014-06-23T12:14:21Z,12.15,263,80,2026-03-19T23:03:16Z,2026-08-16T08:44:41Z,149.72,0.31,JavaScript,1114,1032,0.9264
geekcomputers/Python,35260,2011-11-30T09:04:08Z,14.71,2033,0,2026-08-13T15:13:00Z,2026-08-16T15:25:47Z,3.04,0.04,Python,542,161,0.297
sahat/hackathon-starter,35247,2013-11-13T17:24:12Z,12.75,605,18,2026-08-14T13:30:06Z,2026-08-16T12:26:03Z,2.12,0.16,JavaScript,728,727,0.9986
tailscale/tailscale,35242,2020-01-31T22:00:03Z,6.54,8697,159,2026-08-16T11:18:02Z,2026-08-16T15:35:20Z,0.21,0.03,Go,10571,6588,0.6232
VectifyAI/PageIndex,35206,2025-04-01T10:53:54Z,1.37,86,5,2026-08-16T15:42:15Z,2026-08-16T14:56:11Z,0.02,0.06,Python,121,53,0.438
blakeblackshear/frigate,35131,2019-01-26T13:52:38Z,7.55,4151,81,2026-08-16T15:22:57Z,2026-08-16T16:09:55Z,0.04,0.01,TypeScript,6029,5951,0.9871
fxsjy/jieba,35118,2012-09-29T07:52:01Z,13.88,96,9,2024-08-21T09:23:45Z,2026-08-16T14:20:28Z,725.29,0.08,Python,877,231,0.2634
geekan/HowToLiveLonger,35101,2022-04-16T04:15:18Z,4.33,14,0,2025-05-19T14:10:41Z,2026-08-16T15:29:35Z,454.09,0.03,N/A,142,103,0.7254
unknwon/the-way-to-go_ZH_CN,35037,2013-03-24T17:18:38Z,13.39,592,0,2024-08-14T07:04:25Z,2026-08-15T19:08:28Z,732.38,0.88,Go,0,0,0.0
netty/netty,35031,2010-11-09T09:22:21Z,15.77,5757,13,2026-08-16T09:11:11Z,2026-08-16T09:10:21Z,0.3,0.3,Java,6947,6365,0.9162
utmapp/UTM,35026,2019-04-12T16:09:24Z,7.35,292,130,2026-08-05T07:54:18Z,2026-08-16T13:45:46Z,11.35,0.11,Swift,3701,2630,0.7106
bumptech/glide,35025,2013-07-08T22:52:33Z,13.1,637,59,2026-08-14T06:06:51Z,2026-08-16T04:09:59Z,2.42,0.51,Java,4534,3941,0.8692
sorrycc/awesome-javascript,35018,2014-07-01T15:59:02Z,12.13,412,0,2026-07-31T19:54:43Z,2026-08-16T10:09:25Z,15.85,0.26,N/A,112,107,0.9554
hehonghui/awesome-english-ebooks,34948,2022-06-28T02:45:44Z,4.13,0,0,2026-08-14T21:46:01Z,2026-08-16T15:35:01Z,1.77,0.03,CSS,0,0,0.0
DayuanJiang/next-ai-draw-io,34939,2025-03-23T15:03:48Z,1.4,443,18,2026-08-14T21:55:53Z,2026-08-16T15:59:41Z,1.76,0.01,TypeScript,330,189,0.5727
zellij-org/zellij,34933,2020-09-01T14:04:28Z,5.95,1517,69,2026-08-13T08:19:13Z,2026-08-16T15:43:39Z,3.33,0.02,Rust,2829,1300,0.4595
awesome-foss/awesome-sysadmin,34912,2014-12-23T08:41:22Z,11.65,369,0,2026-08-16T10:22:10Z,2026-08-16T13:34:00Z,0.25,0.11,N/A,108,108,1.0
laravel/framework,34870,2013-01-10T21:27:28Z,13.59,18472,963,2026-08-16T12:52:01Z,2026-08-16T12:52:20Z,0.14,0.14,PHP,19309,19253,0.9971
gitroomhq/postiz-app,34733,2023-07-08T17:24:22Z,3.1,290,199,2026-08-15T14:13:37Z,2026-08-16T16:16:17Z,1.09,0.0,TypeScript,787,630,0.8005
facebookresearch/detectron2,34667,2019-09-05T21:30:20Z,6.94,0,10,2026-07-24T22:21:57Z,2026-08-16T13:47:48Z,22.75,0.1,Python,3574,3102,0.8679
esengine/DeepSeek-Reasonix,34640,2026-04-21T08:27:02Z,0.32,3315,178,2026-08-16T15:49:39Z,2026-08-16T16:15:24Z,0.02,0.0,Go,4039,2981,0.7381
qishibo/AnotherRedisDesktopManager,34637,2019-01-08T06:01:56Z,7.6,161,54,2026-08-13T13:08:20Z,2026-08-16T14:50:17Z,3.13,0.06,JavaScript,1116,971,0.8701
TheAlgorithms/C-Plus-Plus,34582,2016-07-16T10:19:45Z,10.08,705,0,2025-10-11T14:51:22Z,2026-08-16T12:46:04Z,309.06,0.15,C++,344,334,0.9709
BVLC/caffe,34562,2013-09-12T18:39:48Z,12.92,1087,14,2024-07-31T23:10:28Z,2026-08-16T15:26:50Z,745.71,0.04,C++,5227,3939,0.7536
lissy93/web-check,34522,2023-06-25T14:32:11Z,3.14,74,3,2026-08-11T09:01:27Z,2026-08-16T13:22:32Z,5.3,0.12,TypeScript,149,145,0.9732
v2fly/v2ray-core,34481,2019-04-15T10:05:54Z,7.34,1037,130,2026-08-15T01:14:29Z,2026-08-16T12:46:09Z,1.63,0.15,Go,1113,1085,0.9748
ocrmypdf/OCRmyPDF,34458,2013-12-20T08:26:28Z,12.65,202,62,2026-08-06T22:47:30Z,2026-08-16T14:07:12Z,9.73,0.09,Python,1360,1267,0.9316
kovidgoyal/kitty,34425,2016-10-16T14:48:28Z,9.83,1489,143,2026-08-16T14:56:24Z,2026-08-16T15:46:29Z,0.06,0.02,Python,6989,6981,0.9989
nothings/stb,34410,2014-05-25T16:51:23Z,12.22,294,0,2026-08-02T06:42:09Z,2026-08-16T15:41:56Z,14.4,0.02,C,987,738,0.7477
SeleniumHQ/selenium,34372,2013-01-14T21:40:56Z,13.58,4152,120,2026-08-16T00:14:44Z,2026-08-16T15:26:51Z,0.67,0.04,Java,11230,11132,0.9913
derailed/k9s,34368,2019-01-25T18:46:02Z,7.55,1060,258,2026-08-14T16:24:15Z,2026-08-16T15:33:19Z,2.0,0.03,Go,2374,2327,0.9802
CMU-Perceptual-Computing-Lab/openpose,34366,2017-04-24T14:06:31Z,9.31,174,15,2024-08-03T01:59:11Z,2026-08-15T17:18:47Z,743.6,0.96,C++,2007,1667,0.8306
raysan5/raylib,34345,2013-10-24T15:46:04Z,12.81,2655,25,2026-08-13T22:46:53Z,2026-08-16T14:41:15Z,2.73,0.07,C,2227,2213,0.9937
xitu/gold-miner,34330,2015-11-04T03:29:13Z,10.78,3563,0,2024-04-17T09:44:37Z,2026-08-16T12:31:07Z,851.27,0.16,N/A,5604,5590,0.9975
jaredpalmer/formik,34329,2017-06-14T19:50:59Z,9.17,836,200,2025-11-10T17:02:06Z,2026-08-16T12:25:51Z,278.97,0.16,TypeScript,2270,1567,0.6903
huggingface/diffusers,34324,2022-05-30T16:04:02Z,4.21,6014,92,2026-08-16T15:00:09Z,2026-08-16T12:25:41Z,0.05,0.16,Python,5526,4722,0.8545
anthropics/financial-services,34300,2026-02-23T19:24:50Z,0.47,40,0,2026-08-04T14:41:29Z,2026-08-16T15:14:54Z,12.07,0.04,Python,88,9,0.1023
python-poetry/poetry,34289,2018-02-28T15:23:47Z,8.46,2542,151,2026-08-10T21:37:56Z,2026-08-16T15:15:48Z,5.78,0.04,Python,6359,5871,0.9233
nodejs/node-v0.x-archive,34288,2009-05-27T16:29:46Z,17.22,218,0,2024-08-15T20:32:32Z,2026-08-14T12:46:44Z,730.82,2.15,N/A,6379,6379,1.0
TheAlgorithms/JavaScript,34216,2017-07-13T06:12:33Z,9.09,798,0,2026-03-07T14:45:13Z,2026-08-16T12:22:44Z,162.06,0.16,JavaScript,224,203,0.9062
swc-project/swc,34178,2017-12-22T11:40:14Z,8.65,6165,816,2026-08-15T07:38:22Z,2026-08-16T11:25:42Z,1.36,0.2,Rust,4231,3876,0.9161
openai/CLIP,34175,2020-12-16T11:24:42Z,5.66,30,0,2026-03-25T18:46:40Z,2026-08-16T13:37:21Z,143.9,0.11,Jupyter Notebook,445,193,0.4337
