repo,stars,created_at,age_years,merged_pull_requests,releases,pushed_at,updated_at,days_since_last_push,days_since_last_update,primary_language,total_issues,closed_issues,closed_issues_ratio
XTLS/Xray-core,41066,2020-11-09T11:23:10Z,5.77,1422,119,2026-08-14T00:12:39Z,2026-08-16T15:43:42Z,2.67,0.02,Go,3092,3060,0.9897
luongnv89/claude-howto,41056,2025-11-07T22:59:34Z,0.77,65,10,2026-08-16T08:14:04Z,2026-08-16T16:01:46Z,0.34,0.01,Python,41,26,0.6341
vuetifyjs/vuetify,41031,2016-09-12T00:39:35Z,9.92,4802,672,2026-08-16T12:02:41Z,2026-08-16T12:03:52Z,0.18,0.18,TypeScript,15437,15139,0.9807
bailicangdu/vue2-elm,41028,2016-12-23T01:49:20Z,9.65,21,0,2025-04-11T12:52:02Z,2026-08-15T11:57:43Z,492.14,1.18,Vue,631,512,0.8114
zai-org/ChatGLM-6B,40989,2023-03-13T12:00:18Z,3.43,47,0,2024-06-27T04:05:25Z,2026-08-16T08:59:28Z,780.51,0.3,Python,1316,750,0.5699
gkd-kit/gkd,40918,2023-07-04T03:59:15Z,3.12,16,75,2026-08-08T17:07:18Z,2026-08-16T14:44:09Z,7.97,0.06,Kotlin,794,783,0.9861
goabstract/Awesome-Design-Tools,40897,2019-02-12T13:55:30Z,7.51,283,0,2024-07-28T19:57:31Z,2026-08-16T13:59:18Z,748.85,0.1,JavaScript,53,26,0.4906
QSCTech/zju-icicles,40833,2016-06-28T16:17:32Z,10.13,232,0,2026-01-20T11:01:02Z,2026-08-16T14:37:19Z,208.22,0.07,HTML,78,69,0.8846
Hmbown/CodeWhale,40818,2026-01-19T18:21:01Z,0.57,1694,131,2026-08-16T15:31:04Z,2026-08-16T16:04:07Z,0.03,0.01,Rust,2469,2318,0.9388
facebookresearch/faiss,40748,2017-02-07T16:07:05Z,9.52,137,28,2026-08-15T01:16:56Z,2026-08-16T15:25:19Z,1.63,0.04,C++,2778,2564,0.923
vim/vim,40739,2015-08-18T21:03:56Z,10.99,440,0,2026-08-16T15:54:11Z,2026-08-16T15:54:10Z,0.02,0.02,Vim Script,9718,8149,0.8385
vercel-labs/agent-browser,40711,2026-01-11T05:38:15Z,0.59,580,102,2026-08-15T18:20:52Z,2026-08-16T15:08:11Z,0.91,0.05,Rust,575,244,0.4243
appsmithorg/appsmith,40679,2020-06-30T04:07:36Z,6.13,14321,308,2026-08-14T20:39:56Z,2026-08-16T16:02:32Z,1.82,0.01,TypeScript,23747,19322,0.8137
remoteintech/remote-jobs,40661,2015-10-13T03:49:25Z,10.84,1454,0,2026-08-11T12:07:57Z,2026-08-16T13:53:50Z,5.17,0.1,JavaScript,204,200,0.9804
ashishps1/awesome-system-design-resources,40645,2023-10-25T01:50:42Z,2.81,3,0,2026-02-16T18:32:29Z,2026-08-16T16:06:40Z,180.91,0.01,Java,35,27,0.7714
bradtraversy/50projects50days,40617,2020-11-16T14:39:01Z,5.75,44,0,2025-02-26T13:49:39Z,2026-08-16T09:52:37Z,536.1,0.27,CSS,0,0,0.0
PatrickJS/awesome-cursorrules,40597,2024-09-16T15:38:38Z,1.91,101,0,2026-05-30T18:01:29Z,2026-08-16T15:13:05Z,77.93,0.04,JavaScript,65,58,0.8923
chakra-ui/chakra-ui,40578,2019-08-17T14:27:54Z,7.0,3015,3602,2026-08-16T16:00:57Z,2026-08-16T14:18:53Z,0.01,0.08,TypeScript,4355,4349,0.9986
GyulyVGC/sniffnet,40563,2022-07-31T21:55:56Z,4.04,547,18,2026-08-16T16:05:04Z,2026-08-16T15:46:28Z,0.01,0.02,Rust,368,312,0.8478
amruthpillai/reactive-resume,40543,2020-03-25T14:08:22Z,6.39,928,135,2026-08-16T14:51:18Z,2026-08-16T16:13:36Z,0.06,0.0,TypeScript,2137,2049,0.9588
trpc/trpc,40524,2020-07-18T01:17:11Z,6.08,3924,239,2026-08-13T21:58:09Z,2026-08-16T13:32:29Z,2.76,0.11,TypeScript,1364,1210,0.8871
pingcap/tidb,40435,2015-09-06T04:01:52Z,10.94,36046,215,2026-08-16T15:15:25Z,2026-08-16T15:24:24Z,0.04,0.04,Go,23855,18675,0.7829
chatanywhere/GPT_API_free,40408,2023-04-23T12:42:08Z,3.32,1,0,2026-07-28T19:03:18Z,2026-08-16T15:59:48Z,18.88,0.01,N/A,439,438,0.9977
wg/wrk,40387,2012-03-20T11:12:28Z,14.41,0,0,2023-12-30T10:33:51Z,2026-08-16T12:26:00Z,960.24,0.16,C,0,0,0.0
php/php-src,40293,2011-06-16T01:52:25Z,15.17,5525,60,2026-08-16T14:30:46Z,2026-08-16T14:31:36Z,0.07,0.07,C,5349,4398,0.8222
nushell/nushell,40272,2019-05-10T16:59:42Z,7.27,9111,124,2026-08-16T15:57:20Z,2026-08-16T15:58:13Z,0.01,0.01,Rust,7279,5902,0.8108
duckdb/duckdb,40262,2018-06-26T15:04:45Z,8.14,11597,63,2026-08-14T15:37:29Z,2026-08-16T15:24:17Z,2.03,0.04,C++,7434,6848,0.9212
CorentinTh/it-tools,40239,2020-04-05T11:50:24Z,6.36,493,10,2026-08-16T11:35:00Z,2026-08-16T16:13:54Z,0.2,0.0,Vue,712,225,0.316
LizardByte/Sunshine,40222,2021-12-15T23:38:57Z,4.67,2110,46,2026-08-16T15:59:01Z,2026-08-16T15:33:16Z,0.01,0.03,C++,1352,1257,0.9297
ManimCommunity/manim,40206,2020-05-19T02:37:13Z,6.24,2129,34,2026-08-15T08:31:07Z,2026-08-16T16:01:06Z,1.32,0.01,Python,1804,1405,0.7788
outline/outline,40184,2016-05-22T21:31:47Z,10.23,5228,166,2026-08-16T15:56:33Z,2026-08-16T15:13:52Z,0.01,0.04,TypeScript,4224,4193,0.9927
phaserjs/phaser,40158,2013-04-12T12:27:51Z,13.34,1746,178,2026-07-09T14:33:40Z,2026-08-16T15:41:50Z,38.07,0.02,JavaScript,4649,4543,0.9772
microsoft/BitNet,40091,2024-08-05T09:07:38Z,2.03,34,0,2026-07-27T05:52:06Z,2026-08-16T16:00:53Z,20.43,0.01,C++,306,103,0.3366
photoprism/photoprism,40075,2018-01-27T12:00:15Z,8.55,959,83,2026-08-16T14:27:16Z,2026-08-16T16:10:14Z,0.08,0.0,Go,2639,2206,0.8359
gofiber/fiber,40071,2020-01-16T03:59:20Z,6.58,2417,142,2026-08-16T14:14:44Z,2026-08-16T13:57:59Z,0.09,0.1,Go,1738,1700,0.9781
google-research/bert,40051,2018-10-25T22:57:34Z,7.81,32,0,2024-07-23T23:39:41Z,2026-08-16T07:41:47Z,753.69,0.36,Python,1145,355,0.31
evanw/esbuild,40012,2016-06-14T16:08:50Z,10.17,263,315,2026-08-09T17:20:12Z,2026-08-16T15:20:07Z,6.96,0.04,Go,3917,3375,0.8616
Kong/insomnia,39949,2016-04-23T03:54:26Z,10.31,4214,561,2026-08-16T05:09:47Z,2026-08-16T10:33:48Z,0.46,0.24,TypeScript,4034,3297,0.8173
go-gorm/gorm,39908,2013-10-25T08:31:38Z,12.81,790,12,2026-06-25T07:21:11Z,2026-08-16T14:16:33Z,52.37,0.08,Go,6144,5691,0.9263
koalaman/shellcheck,39882,2012-11-17T03:15:11Z,13.74,346,30,2026-08-04T08:32:46Z,2026-08-16T15:44:02Z,12.32,0.02,Haskell,3013,1901,0.6309
siddharthvaddem/openscreen,39877,2025-10-10T05:36:55Z,0.85,195,13,2026-06-17T02:34:20Z,2026-08-16T16:09:41Z,60.57,0.01,TypeScript,366,337,0.9208
videojs/video.js,39860,2010-05-14T18:45:10Z,16.25,1829,336,2026-08-03T10:03:33Z,2026-08-16T12:23:32Z,13.26,0.16,JavaScript,5436,4819,0.8865
ToolJet/ToolJet,39836,2021-03-30T08:51:34Z,5.38,9051,593,2026-08-14T14:11:22Z,2026-08-16T16:13:32Z,2.09,0.0,JavaScript,5281,4730,0.8957
llvm/llvm-project,39817,2016-12-07T09:39:33Z,9.69,96630,159,2026-08-16T16:16:03Z,2026-08-16T16:16:22Z,0.0,0.0,LLVM,97814,68571,0.701
schollz/croc,39817,2017-10-17T15:20:18Z,8.83,362,204,2026-08-16T13:52:39Z,2026-08-16T14:19:14Z,0.1,0.08,Go,613,607,0.9902
langchain-ai/langgraph,39798,2023-08-09T18:33:12Z,3.02,3908,559,2026-08-16T00:22:02Z,2026-08-16T16:01:01Z,0.66,0.01,Python,1505,1052,0.699
2noise/ChatTTS,39770,2024-05-27T18:26:49Z,2.22,223,7,2026-04-10T16:33:48Z,2026-08-16T14:22:37Z,127.99,0.08,Python,676,619,0.9157
vadimdemedes/ink,39666,2017-06-12T06:12:28Z,9.18,323,81,2026-08-12T00:11:46Z,2026-08-16T14:35:52Z,4.67,0.07,TypeScript,432,416,0.963
novuhq/novu,39589,2021-08-26T15:22:44Z,4.97,8415,144,2026-08-16T08:14:23Z,2026-08-16T13:39:22Z,0.34,0.11,TypeScript,1740,1686,0.969
mindsdb/mindshub,39587,2018-08-02T17:56:45Z,8.04,5923,339,2026-08-13T21:48:08Z,2026-08-16T12:20:38Z,2.77,0.16,Makefile,4436,4434,0.9995
floodsung/Deep-Learning-Papers-Reading-Roadmap,39546,2016-10-14T11:49:48Z,9.84,28,0,2022-11-27T13:18:32Z,2026-08-16T08:38:35Z,1358.12,0.32,Python,58,5,0.0862
lm-sys/FastChat,39513,2023-03-19T00:18:02Z,3.41,852,14,2026-05-01T00:25:53Z,2026-08-16T04:34:33Z,107.66,0.49,Python,1971,1077,0.5464
google/styleguide,39507,2015-05-20T19:18:59Z,11.24,201,0,2026-06-03T15:51:23Z,2026-08-16T09:02:39Z,74.02,0.3,HTML,369,250,0.6775
qbittorrent/qBittorrent,39501,2012-02-04T09:37:46Z,14.53,4403,4,2026-08-16T08:34:23Z,2026-08-16T16:14:14Z,0.32,0.0,C++,17659,15092,0.8546
halo-dev/halo,39487,2018-03-21T12:56:52Z,8.41,3225,269,2026-08-14T09:56:19Z,2026-08-16T15:02:48Z,2.26,0.05,Java,4702,4591,0.9764
QuivrHQ/quivr,39401,2023-05-12T23:53:30Z,3.26,1824,354,2025-07-09T12:55:23Z,2026-08-16T10:08:22Z,403.14,0.26,Python,1551,1538,0.9916
pola-rs/polars,39364,2020-05-13T19:45:33Z,6.26,13649,272,2026-08-14T14:54:56Z,2026-08-16T15:15:49Z,2.06,0.04,Rust,13116,10604,0.8085
TeamNewPipe/NewPipe,39356,2015-09-03T23:39:26Z,10.95,1885,147,2026-08-16T12:11:33Z,2026-08-16T15:48:55Z,0.17,0.02,Java,10379,8988,0.866
google/leveldb,39326,2014-08-27T21:17:52Z,11.97,65,21,2026-03-11T04:06:29Z,2026-08-16T09:34:53Z,158.51,0.28,C++,799,542,0.6783
freeCodeCamp/devdocs,39294,2013-10-24T18:16:07Z,12.81,1018,0,2026-08-16T00:41:20Z,2026-08-16T15:03:04Z,0.65,0.05,Ruby,1283,1102,0.8589
AstrBotDevs/AstrBot,39251,2022-12-08T13:27:46Z,3.69,1708,250,2026-08-16T09:02:32Z,2026-08-16T16:03:29Z,0.3,0.01,Python,6445,5415,0.8402
suno-ai/bark,39239,2023-04-07T19:34:48Z,3.36,19,0,2024-08-19T07:45:36Z,2026-08-16T16:16:45Z,727.36,0.0,Jupyter Notebook,478,240,0.5021
ShareX/ShareX,39160,2013-10-08T23:32:10Z,12.85,0,90,2026-08-15T22:22:32Z,2026-08-16T15:21:06Z,0.75,0.04,C#,7526,6870,0.9128
drawdb-io/drawdb,39106,2023-07-16T17:09:20Z,3.08,437,0,2026-08-15T17:33:33Z,2026-08-16T16:00:29Z,0.95,0.01,JavaScript,368,236,0.6413
DeusData/codebase-memory-mcp,39098,2026-02-24T22:01:00Z,0.47,478,43,2026-08-16T01:26:07Z,2026-08-16T16:04:27Z,0.62,0.01,C,787,413,0.5248
google/googletest,38932,2015-07-28T15:07:53Z,11.05,833,12,2026-08-16T01:35:47Z,2026-08-16T15:07:55Z,0.61,0.05,C++,2395,2072,0.8651
HKUDS/LightRAG,38899,2024-10-02T11:57:54Z,1.87,1552,80,2026-08-16T15:50:10Z,2026-08-16T15:51:38Z,0.02,0.02,Python,1522,1315,0.864
wshobson/agents,38852,2025-07-24T23:28:14Z,1.06,161,0,2026-08-15T21:37:08Z,2026-08-16T16:14:46Z,0.78,0.0,Python,110,106,0.9636
mattermost/mattermost,38820,2015-06-15T06:50:02Z,11.17,22278,1015,2026-08-15T15:47:47Z,2026-08-16T16:12:21Z,1.02,0.0,TypeScript,9338,8748,0.9368
