tratamento,n,loc_med,loc_iqr,cc_media_med,cc_media_iqr,cc_por_loc_med,cc_por_loc_iqr,mi_med,mi_iqr,duplicacao_pct_med,duplicacao_pct_iqr
com_ia,6,14.5,4.5,4.5,4.0,0.3818,0.1966,88.98,4.7975,0.0,0.0
sem_ia,6,13.0,10.0,4.0,3.75,0.3239,0.0704,88.6394,9.8056,0.0,0.0
